"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10"
"2558","Rabbinical College Beth Shraga",2,"19681","18834","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2559","Rabbinical College of Long Island",2,"16897","18698","0.125","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2560","Rabbinical Seminary of America",2,"4360","5389","0.4457","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2561","Rensselaer Polytechnic Institute",2,"26741","19069","0.8327","0.6512","0.8119","0.8462","0.6667","1","0.8718","0.697","0.5","30821.5","27954.5","25000","81600","83200","84400"
"2562","Ridley-Lowell Business & Technical Institute-Binghamton",3,"9576","3854","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","PrivacySuppressed","PrivacySuppressed","27000","PrivacySuppressed","PrivacySuppressed"
"2563","Roberts Wesleyan College",2,"15751","10621","0.6684","0.3077","0.5","1","NULL","NULL","0.3333","0.75","0.3333","20834","18750","19500","38800","42700","48500"
"2564","Everest Institute-Rochester",3,"12891","4979","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","7444","21700","30800","28300"
"2565","Rochester Institute of Technology",2,"19868","17731","0.6535","0.4756","0.4766","0.6118","0.5333","NULL","NULL","0.6667","0.5339","23716.5","25500","22635","56500","62600","66600"
"2566","University of Rochester",2,"21893","28983","0.858","0.7321","0.6905","0.8714","1","NULL","NULL","0.8333","0.8178","22742.5","25000","22750","105500","71400","67000"
"2567","Rockland Community College",1,"2712","7255","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5000","5544","6500","36500","43300","47400"
"2568","Empire Beauty School-Manhattan",3,"10373","7500","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8470.5","7350","6222","20800","31400","29600"
"2569","The Sage Colleges",2,"12380","7845","0.6028","0.5455","0.2857","1","NULL","NULL","0.5","NULL","0.5385","18750","19500","15000","38400","38800","43700"
"2570","St Bernard's School of Theology and Ministry",2,"16647","11923","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"2571","St Bonaventure University",2,"15218","8189","0.7091","0.5333","0.6364","1","0.5","0.75","NULL","0.8571","0.5362","19982.5","25000","23200","36900","44800","52900"
"2572","St Francis College",2,"14332","7426","0.64","0.396","0.4458","0.35","0.6667","NULL","NULL","0.6087","0.5263","16500","17145","17750","48800","52600","58600"
"2573","St Joseph's College of Nursing at St Joseph's Hospital Health Center",2,"15819","12896","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","18906","12000","12000","PrivacySuppressed","52700","PrivacySuppressed"
"2574","St Lawrence University",2,"22702","15966","0.8438","0.8","0.8462","0.8889","1","1","0.7778","0.9118","1","17856","26585","25250","49500","50700","55500"
"2575","The College of Saint Rose",2,"15067","12055","0.6667","0.7391","0.4483","0.7143","NULL","NULL","0","0.6667","0.6585","19250","20750","19500","39200","40600","45400"
"2576","St. Thomas Aquinas College",2,"15850","7969","0.6151","0.4286","0.4746","0.6667","1","NULL","NULL","0","0.5","16250","18300","16750","44000","43800","50100"
"2577","Samaritan Hospital School of Nursing",2,"10414","11911","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14000","14092.5","11377","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2578","Sarah Lawrence College",2,"25770","20449","0.7598","0.6667","0.7826","0.8182","NULL","NULL","0.75","0.875","1","13500","13126","13125","40200","40600","40500"
"2579","Schenectady County Community College",1,"1186","4405","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5500","5500","6093.5","29400","36300","36900"
"2580","Sh'or Yoshuv Rabbinical College",2,"3603","14819","0.65","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2581","Siena College",2,"15930","10563","0.8224","0.5882","0.7429","0.7308","1","1","0.875","0.6667","0.3846","18750","24625","25000","50400","58400","65000"
"2582","Skidmore College",2,"30389","19668","0.8698","0.9375","0.9643","0.7917","1","NULL","0.9286","0.8235","0.8","13744","21700","18914","55200","46000","56300"
"2583","Saint Joseph's College-New York",2,"15725","8251","0.7229","0.5143","0.5467","0.75","0","NULL","NULL","NULL","0.5556","18750","19344.5","18750","49300","53100","57800"
"2584","Saint Vladimirs Orthodox Theological Seminary",2,"4352","16834","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"2585","Spanish-American Institute",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2586","Saint Elizabeth College of Nursing",2,"10095","11828","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14000","12100","11916.5","PrivacySuppressed","58600","PrivacySuppressed"
"2587","Saint John Fisher College",2,"18573","9198","0.7253","0.5294","0.7826","0.6364","0","NULL","NULL","0","0.6","22500","22500","19625","48400","47100","54700"
"2588","St Paul's School of Nursing-Staten Island",3,"15441","5962","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19819","19178","12689","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2589","St James Mercy Hospital School of Radiologic Science",2,"5942","6208","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2590","St John's University-New York",2,"22125","11325","0.6568","0.4837","0.5071","0.6151","0.2","NULL","NULL","0.6794","0.5741","20253","21000","19179","55300","61200","64100"
"2591","New York Career Institute",3,"11814","3347","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8002","13321","9781","34500","PrivacySuppressed","PrivacySuppressed"
"2592","Branford Hall Career Institute-Bohemia Campus",3,"12846","3610","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8831","9498","7667","25400","33700","35200"
"2593","Sullivan County Community College",1,"2804","8266","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5500","5600","5500","31100","33800","39600"
"2594","SUNY College of Technology at Alfred",1,"3378","10105","0.5227","0.2615","0.2826","0.2222","0.3333","NULL","NULL","0.5385","NULL","12000","12000","12000","36100","39100","45200"
"2595","SUNY College of Technology at Canton",1,"3373","8175","0.3288","0.213","0.1864","0","0.1429","1","0.5","0.1613","NULL","12143","13000","11000","32400","39400","41900"
"2596","SUNY College of Technology at Delhi",1,"3855","9374","0.4194","0.2991","0.3673","0.1667","0.25","NULL","NULL","0.7","0.3421","11640","11500","11000","34700","39600","43500"
"2597","SUNY College of Agriculture and Technology at Cobleskill",1,"4180","8430","0.3767","0.2872","0.2727","0.5455","0.25","NULL","NULL","0.5","NULL","10775","11000","11000","33300","35800","40500"
"2598","Farmingdale State College",1,"5571","9828","0.4866","0.4432","0.3577","0.439","0","NULL","NULL","0.6667","0.393","8969","11492.5","11500","47000","51600","58100"
"2599","Morrisville State College",1,"3426","10657","0.3009","0.1915","0.2321","0.5","0.2","NULL","NULL","0.6","0.3089","14250","12000","12000","31900","35200","38800"
"2600","SUNY at Albany",1,"6348","13815","0.6621","0.6731","0.6316","0.6882","0.4","NULL","NULL","0.6567","0.6565","17000","17025","15000","51700","53400","58400"
"2601","SUNY at Binghamton",1,"7150","11395","0.8194","0.8","0.7778","0.8006","1","NULL","NULL","0.7447","0.8253","17500","17500","16500","59700","64200","64400"
"2602","University at Buffalo",1,"8627","15806","0.7171","0.6205","0.6636","0.7875","0.625","NULL","NULL","0.7464","0.7121","14000","15500","15691.5","58600","54100","56800"
"2603","Stony Brook University",1,"7992","20564","0.6282","0.7482","0.6207","0.7354","0.7143","NULL","NULL","0.7386","0.7127","15750","16500","15818.5","59000","59100","58800"
"2604","SUNY College of Environmental Science and Forestry",1,"5570","15092","0.6748","0.5","0.8","0.6364","1","NULL","NULL","1","NULL","15821","20000","16950","40100","46200","45500"
"2605","SUNY Polytechnic Institute",1,"5536","9924","0.4366","0.4","0.3684","0.5","0","NULL","NULL","0.6667","0.4286","10998","13500","12000","48000","52500","56700"
"2606","SUNY College at Brockport",1,"5102","11647","0.6819","0.6226","0.7","0.7143","1","NULL","NULL","0.5","0.6959","16000","17500","16000","42300","44400","45200"
"2607","SUNY Buffalo State",1,"4158","9777","0.4642","0.4383","0.3913","0.1471","0.4","NULL","NULL","0.1667","0.4845","14595","16250","15000","36800","41100","42000"
"2608","SUNY College at Cortland",1,"5533","9436","0.6933","0.4","0.5607","0.5217","0.5625","NULL","NULL","1","0.6941","17750","17990","17750","40400","44300","49900"
"2609","SUNY at Fredonia",1,"5151","10948","0.6751","0.6098","0.5676","0.65","0.6667","NULL","NULL","0.7273","NULL","15957.5","19500","18750","37100","41700","42800"
"2610","SUNY College at Geneseo",1,"5680","10471","0.8057","0.5667","0.6769","0.8","0","1","0.7895","0.7308","0.7111","17500","19477","16500","47500","49300","52500"
"2611","State University of New York at New Paltz",1,"6051","10550","0.7733","0.7719","0.5779","0.7174","0.5","1","0.8696","0.5294","0.6957","16837","16500","16299","44400","47400","46700"
"2612","SUNY Oneonta",1,"4942","8942","0.7436","0.7188","0.6184","0.6","0.6667","NULL","NULL","0.3333","0.9231","18702","20500","19000","41000","41900","48000"
"2613","SUNY College at Oswego",1,"5178","10636","0.6529","0.519","0.506","0.5882","0.2","NULL","NULL","0.6522","NULL","17098","17771","17750","40300","43100","46000"
"2614","SUNY College at Potsdam",1,"4559","12437","0.5625","0.381","0.3846","0.6154","0.25","NULL","NULL","0.5714","0.5","17097.5","20035","19003.5","36400","38400","40700"
"2615","SUNY at Purchase College",1,"6336","10439","0.6765","0.6481","0.6667","0.5238","0","NULL","NULL","1","0.7007","18750","19000","17500","35500","39900","39500"
"2616","SUNY College of Optometry",1,"23893","55586","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2617","SUNY College at Old Westbury",1,"4182","9875","0.2836","0.4211","0.3836","0.5484","NULL","NULL","NULL","0.2857","0.2653","12400","13750","13500","43200","50500","52700"
"2618","SUNY College at Plattsburgh",1,"5252","11263","0.6095","0.6","0.5902","0.64","0.5","NULL","NULL","0.7368","0.6058","17337.5","17985","18500","40300","42000","44100"
"2619","SUNY Downstate Medical Center",1,"19815","72057","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13500","16050","12500","175500","PrivacySuppressed","PrivacySuppressed"
"2620","SUNY Empire State College",1,"4688","9046","0.2056","0.1343","0.4444","0.2","0.5","NULL","0","NULL","0","14250","15937","14250","34800","48900","59700"
"2621","SUNY Maritime College",1,"6399","11637","0.5096","0.2273","0.2414","0.4286","0","NULL","NULL","0.4286","0.4545","24500","22572.5","20228.5","68100","80500","76400"
"2622","Upstate Medical University",1,"18108","60181","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","18319.5","17600","14200","186000","PrivacySuppressed","PrivacySuppressed"
"2623","Swedish Institute a College of Health Sciences",3,"9620","10162","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19000","20000","22250","30600","42200","55800"
"2624","Syracuse University",2,"22079","15192","0.8299","0.7244","0.7534","0.7937","0.5556","0.6667","0.7857","0.7665","0.8115","27430","29000","25761","62400","59200","66400"
"2625","Talmudical Seminary Oholei Torah",2,"8966","4626","0.04","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","24000","PrivacySuppressed","PrivacySuppressed"
"2626","Talmudical Institute of Upstate New York",2,"21665","14101","0","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"2627","Teachers College at Columbia University",2,"30996","18301","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2628","Technical Career Institutes",3,"12893","3986","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10500","12000","11711","34400","42900","52300"
"2629","Tompkins Cortland Community College",1,"3543","5962","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8250","8750","6500","31000","34600","35900"
"2630","Torah Temimah Talmudical Seminary",2,"7769","6128","0.0233","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2631","Touro College",2,"12576","6892","0.4747","0.3279","0.3238","0.3478","0","NULL","NULL","0.7143","0.4219","12000","11800","8275","35800","47300","62500"
"2632","Trocaire College",2,"17042","8661","0.3673","0.0612","0.4","NULL","0","NULL","0.2","NULL","0","15938","17965","13537","33300","45300","48100"
"2633","Excelsior College",2,"4295","813","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5500","6332","7524","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2634","Ulster County Community College",1,"3462","7067","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3807","5000","5500","30000","38800","42900"
"2635","Sanford-Brown Institute-New York",3,"10826","3208","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","9500","27600","35600","37200"
"2636","Union College",2,"27513","19835","0.8409","0.9259","0.9","0.9655","NULL","NULL","NULL","0.9091","0.8571","16997.5","24433","26203","69600","67300","72900"
"2637","Union Theological Seminary in the City of New York",2,"5208","26884","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2638","United Talmudical Seminary",2,"14158","4434","0.4912","NULL","0.3333","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","21100","PrivacySuppressed","PrivacySuppressed"
"2639","United States Merchant Marine Academy",1,"602","15985","0.7284","0.375","0.7273","0.8333","0.5","NULL","NULL","0.8","0","PrivacySuppressed","PrivacySuppressed","5500","PrivacySuppressed","PrivacySuppressed","99100"
"2640","Utica College",2,"14758","7365","0.5141","0.3333","0.3958","0.6364","0","1","0.2857","NULL","0.1163","18250","18750","18473","41500","46300","48400"
"2641","Utica School of Commerce",3,"11834","4386","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","12000","24200","PrivacySuppressed","PrivacySuppressed"
"2642","Vassar College",2,"25998","29919","0.9392","0.92","0.8293","0.8793","0","NULL","0.9231","0.8605","NULL","5639.5","13500","18600","55200","59200","53500"
"2643","Villa Maria College",2,"16180","6612","0.5811","0.186","0.1429","0","NULL","NULL","0","NULL","NULL","9620","14250","15000","25800","30500","30900"
"2644","School of Visual Arts",3,"31892","15105","0.6487","0.6154","0.5286","0.7407","0.3333","0.5","NULL","0.7573","0.5909","23000","25000","22443.5","41600","51500","49900"
"2645","Wagner College",2,"23434","10858","0.6692","0.7391","0.4545","0.7","NULL","1","0.5385","0.8333","1","25000","25000","21500","51400","75100","60600"
"2646","Webb Institute",2,"413","31658","0.8947","NULL","NULL","1","NULL","NULL","NULL","NULL","1","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2647","Wells College",2,"12882","8376","0.6778","0.2222","0.5","0.3333","0","NULL","NULL","0.75","0.5517","14000","19500","23250","33500","33100","47100"
"2648","The College of Westchester",3,"19998","6634","0.4528","0.3554","0.4833","0.4167","1","NULL","0.2353","NULL","0.4615","15679","17163","15250","33800","42400","45700"
"2649","SUNY Westchester Community College",1,"3600","8714","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5250","5500","5500","38100","46500","45700"
"2650","Westchester School of Beauty Culture",3,"2695","3615","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
